,address,advantage,city,company_name,education,industry,industryLables,label,position_detail,position_name,salary,size,stage,work_year
186,,五险一金，年底双薪，周末双休，免费午晚餐,广州,珠海市一知安全科技有限公司,硕士,信息安全,"['信息安全', '大数据', '算法', '数据挖掘', '数据分析']","['绩效奖金', '带薪年假', '定期体检', '五险一金']",null,机器学习工程师,18k-30k,15-50人,天使轮,1-3年
187,"['学院路', '中关村', '知春路']",具备技术挑战、海量数据的数据分析底层架构,北京,神策网络科技（北京）有限公司,本科,数据服务,[],"['节日礼物', '年底双薪', '股票期权', '带薪年假']",null,机器学习算法专家,40k-60k,150-500人,C轮,5-10年
188,,"薪资高,年终多,有期权",深圳,岩心科技（深圳）有限公司,本科,"移动互联网,金融",[],"['美女如云', '股票期权', '高速发展', '扁平管理']",null,机器学习工程师,20k-40k,500-2000人,D轮及以上,1-3年
189,"['酒仙桥', '大山子', '将台路']","核心团队,六险一金,免费三餐,班车",北京,奇虎360科技有限公司,本科,"移动互联网,游戏",[],[],null,机器学习/深度学习专家,25k-50k,2000人以上,上市公司,3-5年
190,,"期权激励,大牛带,平台发展快,个人成长快",北京,北京修齐治平科技有限公司,本科,"教育,数据服务",[],"['技能培训', '节日礼物', '股票期权', '带薪年假']",null,数据挖掘/自然语言处理/机器学习/推荐系统,25k-50k,2000人以上,C轮,3-5年
191,"['苏州街', '中关村', '万泉河']","五险一金全,大牛美女多,晋升快",北京,北京创景咨询有限公司,硕士,"移动互联网,电子商务",[],"['年底双薪', '绩效奖金', '通讯津贴', '定期体检']",null,机器学习,15k-30k,50-150人,不需要融资,不限
192,['张江'],弹性工作时间，团队氛围好,上海,度小满科技（北京）有限公司,本科,"移动互联网,金融","['移动互联网', '互联网金融', '机器学习', '深度学习', '人工智能']","['年底双薪', '五险一金', '弹性工作', '节日礼物']",null,机器学习工程师,25k-50k,500-2000人,A轮,1-3年
193,"['学院路', '知春路', '北太平庄']",大牛同事、技术分享、技术深研、晋升空间,北京,广州市百果园网络科技有限公司,硕士,"移动互联网,社交网络","['视频', '直播', '推荐', '搜索', 'NLP', '数据挖掘']","['年底双薪', '五险一金', '年终奖', '班车接送']",null,机器学习算法工程师,30k-60k,500-2000人,D轮及以上,不限
194,"['大冲', '科技园']",风口行业,深圳,深圳追一科技有限公司,不限,"移动互联网,企业服务",[],"['期权激励', '年底双薪', '带薪年假', '节日礼物']",null,机器学习算法工程师 (MJ000057),20k-40k,150-500人,C轮,1-3年
195,,弹性工作，免费三餐，租房补贴，休闲下午茶,北京,北京字节跳动科技有限公司,本科,"移动互联网,数据服务",['后端开发'],"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",null,机器学习算法工程师-反作弊,6k-8k,2000人以上,C轮,不限
196,"['定福庄', '管庄']",年底双薪，绩效奖金，带薪年假,北京,互动峰科技（北京）有限公司,硕士,医疗健康,[],"['五险一金', '带薪年假', '绩效奖金', '专项奖金']",null,机器学习（NLP方向）工程师,30k-50k,500-2000人,D轮及以上,不限
197,"['中关村', '知春路', '苏州街']",弹性工作制 优厚的薪酬 风口行业,北京,北京智加智行科技有限公司,博士,人工智能,[],"['带薪年假', '通讯津贴', '定期体检', '股票期权']",null,机器学习科学家-北京,40k-70k,50-150人,A轮,不限
198,,年轻团队 扁平管理 带薪年假 周末双休,成都,成都无糖信息技术有限公司,大专,"信息安全,数据服务",[],"['带薪年假', '五险一金', '弹性工作', '领导好']",null,机器学习算法工程师,8k-16k,50-150人,A轮,不限
199,,上市公司,深圳,深圳和而泰智能控制股份有限公司,硕士,移动互联网,[],"['绩效奖金', '年终分红', '股票期权', '专项奖金']",null,机器学习专家,40k-80k,2000人以上,上市公司,3-5年
200,"['团结湖', '三里屯', '呼家楼']",团队强大、平台开放,北京,天脉聚源（北京）科技有限公司,硕士,数据服务,"['云计算', '大数据', '人工智能', '机器学习', '深度学习', '语音识别']",[],null,机器学习算法工程师,13k-25k,500-2000人,D轮及以上,不限
201,,发展前景好,北京,百度在线网络技术（北京）有限公司,本科,"移动互联网,数据服务",[],"['股票期权', '弹性工作', '五险一金', '免费班车']",null,推荐算法/机器学习技术经理,40k-80k,2000人以上,不需要融资,5-10年
202,"['新天地', '打浦桥', '淮海路']",核心业务，优秀团队，薪酬优厚,上海,行吟信息科技（上海）有限公司,本科,"生活服务,电子商务",[],"['年度旅游', '节日礼物', '专项奖金', '带薪年假']",null,机器学习算法工程师,25k-50k,500-2000人,D轮及以上,1-3年
203,"['荣巷', '蠡园', '蠡湖']",五险一金、带薪年假、节假日福利、年度体检,无锡,上海安翰医疗技术有限公司,本科,医疗健康,"['医疗健康', '后端', '机器学习']",[],null,图像处理与机器学习工程师,8k-15k,500-2000人,B轮,1-3年
204,"['学院路', '北太平庄', '牡丹园']","高薪高股,六险一金,房补,大牛云集",北京,北京小川在线网络技术有限公司,本科,移动互联网,[],"['技能培训', '连续创业团队', '年度旅游', '扁平管理']",null,大规模机器学习工程师,30k-60k,150-500人,C轮,3-5年
205,,上市公司 大牛云集 核心部门,北京,北京三快在线科技有限公司,本科,"移动互联网,O2O",['后端开发'],"['技能培训', '绩效奖金', '岗位晋升', '领导好']",null,数据平台-机器学习平台系统开发,30k-55k,2000人以上,上市公司,5-10年
206,"['望京', '大山子', '花家地']","发展空间大,核心岗位",北京,北京陌陌科技有限公司,本科,社交网络,"['广告营销', 'Python', '算法', '机器学习']","['岗位晋升', '帅哥多', '管理规范', '技能培训']",null,机器学习工程师,20k-40k,500-2000人,上市公司,3-5年
207,"['五山', '岗顶', '天河北']","五险一金,定期体检,弹性工时,晋升空间大",广州,北京创数纪信息技术有限责任公司,本科,"移动互联网,数据服务",[],"['大数据', '五险一金', '职位晋升', '弹性工作']",null,机器学习工程师,10k-20k,15-50人,天使轮,1-3年
208,,期权激励,深圳,深圳追一科技有限公司,不限,"移动互联网,企业服务",[],"['期权激励', '年底双薪', '带薪年假', '节日礼物']",null,机器学习算法研究员 (MJ000031),30k-60k,150-500人,C轮,3-5年
209,"['南油', '海王大厦', '后海']","周末双休,弹性工作",深圳,贝深科技（深圳）有限公司,本科,"企业服务,数据服务",[],"['年底双薪', '股票期权', '带薪年假', '绩效奖金']",null,机器学习,15k-25k,15-50人,A轮,1-3年
210,,六险一金，免费三餐，租房补贴，休闲下午茶,北京,北京字节跳动科技有限公司,本科,"移动互联网,数据服务",[],"['扁平管理', '弹性工作', '大厨定制三餐', '就近租房补贴']",null,机器学习算法leader-反作弊,50k-70k,2000人以上,C轮,不限
211,"['定福庄', '管庄']","五险一金,年底双薪,定期体检,发展空间",北京,互动峰科技（北京）有限公司,本科,医疗健康,"['医疗健康', '算法', '数据挖掘']","['五险一金', '带薪年假', '绩效奖金', '专项奖金']",null,机器学习工程师,25k-50k,500-2000人,D轮及以上,3-5年
212,"['望京', '来广营']","年底多薪,三餐福利,技术大牛多,住宿补贴",北京,行吟信息科技（上海）有限公司,本科,"生活服务,电子商务",[],"['年度旅游', '节日礼物', '专项奖金', '带薪年假']",null,机器学习算法工程师（2018校招）,15k-25k,500-2000人,D轮及以上,应届毕业生
213,"['学院路', '北太平庄', '牡丹园']",领导nice，福利待遇好，团队氛围好,北京,北京小川在线网络技术有限公司,本科,移动互联网,[],"['技能培训', '连续创业团队', '年度旅游', '扁平管理']",null,机器学习,20k-40k,150-500人,C轮,3-5年
214,['东山'],发展空间,南京,深圳追一科技有限公司,不限,"移动互联网,企业服务",[],"['期权激励', '年底双薪', '带薪年假', '节日礼物']",null,机器学习算法研究员（南京） (MJ000179),15k-30k,150-500人,C轮,不限
215,"['北京西路', '南京西路', '静安寺']","国际化团队, 高层写字楼, 完善的福利",上海,西安星垂智能科技有限公司,本科,"移动互联网,人工智能",[],"['带薪年假', '弹性工作', '健身房福利', '扁平管理']",null,Machine Learning 机器学习工程师,60k-100k,15-50人,不需要融资,5-10年
